gcf	base_thr	base_topK	meteor	K
GCF_019856495.1	0.1453	0.2191	0.1924	979
GCF_021278985.1	0.2251	0.2903	0.2693	1354
GCF_022406515.1	0.1146	0.185	0.1631	863
GCF_024519395.1	0.239	0.304	0.2825	1391
GCF_032924845.1	0.1838	0.2431	0.2209	1062
GCF_039535865.1	0.0728	0.1696	0.1372	658
GCF_045039055.1	0.1132	0.1869	0.1569	883
GCF_045207185.1	0.1941	0.2705	0.2448	1134
GCF_045286965.1	0.1957	0.2806	0.2426	1151
GCF_045348045.1	0.1392	0.2199	0.1901	929
GCF_045571375.1	0.2149	0.2836	0.2589	1252
GCF_045712965.1	0.1839	0.2558	0.2326	1114
GCF_046591535.1	0.1498	0.2289	0.2009	934
GCF_047219265.1	0.2379	0.3009	0.2791	1382
GCF_047301005.1	0.1	0.1844	0.1437	771
GCF_047946945.1	0.195	0.2635	0.2376	1149
GCF_049860565.1	0.1409	0.2272	0.2031	994
GCF_050157305.1	0.172	0.2464	0.2189	1020
GCF_050233995.1	0.082	0.1618	0.1391	784
GCF_051043275.1	0.207	0.283	0.2522	1235
GCF_051903345.1	0.2321	0.3061	0.2782	1263
GCF_051904065.1	0.1344	0.2033	0.1748	917
GCF_051904745.1	0.2233	0.296	0.2728	1379
GCF_051905015.1	0.1371	0.1976	0.1718	891
GCF_054027555.1	0.1226	0.2086	0.1807	914
GCF_055387645.1	0.129	0.2006	0.1724	912
GCF_055390245.1	0.1025	0.1645	0.1356	780
GCF_055589305.1	0.1961	0.2795	0.2537	1180
GCF_056489225.1	0.2194	0.2877	0.2657	1342
GCF_057457595.1	0.1976	0.2746	0.2501	1138
GCF_057838145.1	0.1605	0.2557	0.2149	1016
GCF_058182495.1	0.1961	0.2664	0.2427	1170
GCF_058435815.1	0.25	0.317	0.2944	1447
GCF_058436375.1	0.2391	0.3045	0.2808	1388
GCF_058448535.1	0.2241	0.3	0.2731	1315
GCF_058449135.1	0.1975	0.2693	0.243	1193
GCF_900105045.1	0.1597	0.2571	0.2153	1008
GCF_900112135.1	0.2044	0.2769	0.2461	1197
GCF_902859785.1	0.2184	0.2971	0.2702	1281
GCF_963281165.1	0.1002	0.1802	0.1491	768
GCF_976997305.1	0.2239	0.2912	0.2687	1296
GCF_978047615.1	0.1245	0.1882	0.1608	833
